RLDNR,RBUKRS,GJAHR,BELNR,DOCLN,RYEAR,POPER,BUDAT,BLDAT,BLART,RACCT,RCNTR,PRCTR,DRCRK,RWCUR,HSL,WSL,USNAM,STBLG
0L,1000,2022,0000100007,000001,2022,001,2022-01-27,2022-01-20,DR,400000,10000001,P100001,H,EUR,-1303384.5,-1303384.5,USER016,
0L,1000,2022,0000100007,000002,2022,001,2022-01-27,2022-01-20,DR,140000,,P100001,S,EUR,1303384.5,1303384.5,USER016,
0L,1000,2022,0000100008,000001,2022,001,2022-01-07,2022-01-01,DR,400000,10000001,P100001,H,EUR,-2698903.26,-2698903.26,USER028,
0L,1000,2022,0000100008,000002,2022,001,2022-01-07,2022-01-01,DR,140000,,P100001,S,EUR,2698903.26,2698903.26,USER028,
0L,1000,2022,0000100009,000001,2022,001,2022-01-31,2022-01-31,DR,410000,10000001,P100001,H,EUR,-267547.01,-267547.01,USER025,
0L,1000,2022,0000100009,000002,2022,001,2022-01-31,2022-01-31,DR,140000,,P100001,S,EUR,267547.01,267547.01,USER025,
0L,1000,2022,0000100010,000001,2022,001,2022-01-20,2022-01-09,DR,410000,10000001,P100001,H,EUR,-2377257.52,-2377257.52,USER007,
0L,1000,2022,0000100010,000002,2022,001,2022-01-20,2022-01-09,DR,140000,,P100001,S,EUR,2377257.52,2377257.52,USER007,
0L,1000,2022,0000100011,000001,2022,001,2022-01-27,2022-01-18,DR,410000,10000001,P100001,H,EUR,-502710.08,-502710.08,USER029,
0L,1000,2022,0000100011,000002,2022,001,2022-01-27,2022-01-18,DR,140000,,P100001,S,EUR,502710.08,502710.08,USER029,
0L,1000,2022,0000100012,000001,2022,001,2022-01-05,2022-01-03,DR,410000,10000001,P100001,H,EUR,-1912928.73,-1912928.73,USER003,
0L,1000,2022,0000100012,000002,2022,001,2022-01-05,2022-01-03,DR,140000,,P100001,S,EUR,1912928.73,1912928.73,USER003,
0L,1000,2022,0000100013,000001,2022,001,2022-01-31,2022-01-26,DR,410000,10000001,P100001,H,EUR,-342953.06,-342953.06,USER004,
0L,1000,2022,0000100013,000002,2022,001,2022-01-31,2022-01-26,DR,140000,,P100001,S,EUR,342953.06,342953.06,USER004,
0L,1000,2022,0000100014,000001,2022,001,2022-01-27,2022-01-26,DR,410000,10000001,P100001,H,EUR,-2223506.96,-2223506.96,USER019,
0L,1000,2022,0000100014,000002,2022,001,2022-01-27,2022-01-26,DR,140000,,P100001,S,EUR,2223506.96,2223506.96,USER019,
0L,1000,2022,0000100015,000001,2022,001,2022-01-06,2021-12-28,DR,410000,10000001,P100001,H,EUR,-379397.1,-379397.1,USER039,
0L,1000,2022,0000100015,000002,2022,001,2022-01-06,2021-12-28,DR,140000,,P100001,S,EUR,379397.1,379397.1,USER039,
0L,1000,2022,0000100016,000001,2022,001,2022-01-31,2022-01-24,DR,410000,10000001,P100001,H,EUR,-126750.73,-126750.73,USER011,
0L,1000,2022,0000100016,000002,2022,001,2022-01-31,2022-01-24,DR,140000,,P100001,S,EUR,126750.73,126750.73,USER011,
0L,1000,2022,0000100017,000001,2022,001,2022-01-03,2021-12-31,DR,410000,10000001,P100001,H,EUR,-10656.91,-10656.91,USER024,
0L,1000,2022,0000100017,000002,2022,001,2022-01-03,2021-12-31,DR,140000,,P100001,S,EUR,10656.91,10656.91,USER024,
0L,1000,2022,0000100018,000001,2022,001,2022-01-25,2022-01-24,KR,700000,10000001,P100001,S,EUR,32875.53,32875.53,USER003,
0L,1000,2022,0000100018,000002,2022,001,2022-01-25,2022-01-24,KR,160000,,P100001,H,EUR,-32875.53,-32875.53,USER003,
0L,1000,2022,0000100019,000001,2022,001,2022-01-17,2022-01-08,KR,700000,10000001,P100001,S,EUR,16307.11,16307.11,USER017,
0L,1000,2022,0000100019,000002,2022,001,2022-01-17,2022-01-08,KR,160000,,P100001,H,EUR,-16307.11,-16307.11,USER017,
0L,1000,2022,0000100020,000001,2022,001,2022-01-13,2022-01-08,KR,700000,10000001,P100001,S,EUR,1955.22,1955.22,USER014,
0L,1000,2022,0000100020,000002,2022,001,2022-01-13,2022-01-08,KR,160000,,P100001,H,EUR,-1955.22,-1955.22,USER014,
0L,1000,2022,0000100021,000001,2022,001,2022-01-13,2022-01-10,KR,700000,10000001,P100001,S,EUR,1076.01,1076.01,USER039,
0L,1000,2022,0000100021,000002,2022,001,2022-01-13,2022-01-10,KR,160000,,P100001,H,EUR,-1076.01,-1076.01,USER039,
0L,1000,2022,0000100022,000001,2022,001,2022-01-06,2021-12-28,KR,700000,10000001,P100001,S,EUR,1366.76,1366.76,USER027,
0L,1000,2022,0000100022,000002,2022,001,2022-01-06,2021-12-28,KR,160000,,P100001,H,EUR,-1366.76,-1366.76,USER027,
0L,1000,2022,0000100023,000001,2022,001,2022-01-30,2022-01-26,KR,700000,10000001,P100001,S,EUR,6305.59,6305.59,USER021,
0L,1000,2022,0000100023,000002,2022,001,2022-01-30,2022-01-26,KR,160000,,P100001,H,EUR,-6305.59,-6305.59,USER021,
0L,1000,2022,0000100024,000001,2022,001,2022-01-04,2022-01-03,KR,700000,10000001,P100001,S,EUR,3455.74,3455.74,USER028,
0L,1000,2022,0000100024,000002,2022,001,2022-01-04,2022-01-03,KR,160000,,P100001,H,EUR,-3455.74,-3455.74,USER028,
0L,1000,2022,0000100025,000001,2022,001,2022-01-26,2022-01-26,KR,700000,10000001,P100001,S,EUR,26464.89,26464.89,USER029,
0L,1000,2022,0000100025,000002,2022,001,2022-01-26,2022-01-26,KR,160000,,P100001,H,EUR,-26464.89,-26464.89,USER029,
0L,1000,2022,0000100026,000001,2022,001,2022-01-31,2022-01-25,KR,700000,10000001,P100001,S,EUR,25763.32,25763.32,USER009,
0L,1000,2022,0000100026,000002,2022,001,2022-01-31,2022-01-25,KR,160000,,P100001,H,EUR,-25763.32,-25763.32,USER009,
0L,1000,2022,0000100027,000001,2022,001,2022-01-19,2022-01-14,KR,700000,10000001,P100001,S,EUR,54780.44,54780.44,USER001,
0L,1000,2022,0000100027,000002,2022,001,2022-01-19,2022-01-14,KR,160000,,P100001,H,EUR,-54780.44,-54780.44,USER001,
0L,1000,2022,0000100028,000001,2022,001,2022-01-12,2022-01-09,KR,710000,10000001,P100001,S,EUR,136849.17,136849.17,USER002,
0L,1000,2022,0000100028,000002,2022,001,2022-01-12,2022-01-09,KR,160000,,P100001,H,EUR,-136849.17,-136849.17,USER002,
0L,1000,2022,0000100029,000001,2022,001,2022-01-28,2022-01-28,KR,710000,10000001,P100001,S,EUR,27567.68,27567.68,USER006,
0L,1000,2022,0000100029,000002,2022,001,2022-01-28,2022-01-28,KR,160000,,P100001,H,EUR,-27567.68,-27567.68,USER006,
0L,1000,2022,0000100030,000001,2022,001,2022-01-17,2022-01-09,KR,710000,10000001,P100001,S,EUR,15212.65,15212.65,USER034,
0L,1000,2022,0000100030,000002,2022,001,2022-01-17,2022-01-09,KR,160000,,P100001,H,EUR,-15212.65,-15212.65,USER034,
0L,1000,2022,0000100031,000001,2022,001,2022-01-18,2022-01-13,KR,710000,10000001,P100001,S,EUR,60314.51,60314.51,USER007,
0L,1000,2022,0000100031,000002,2022,001,2022-01-18,2022-01-13,KR,160000,,P100001,H,EUR,-60314.51,-60314.51,USER007,
0L,1000,2022,0000100032,000001,2022,001,2022-01-18,2022-01-07,KR,710000,10000001,P100001,S,EUR,15775.7,15775.7,USER011,
0L,1000,2022,0000100032,000002,2022,001,2022-01-18,2022-01-07,KR,160000,,P100001,H,EUR,-15775.7,-15775.7,USER011,
0L,1000,2022,0000100033,000001,2022,001,2022-01-10,2022-01-09,KR,710000,10000001,P100001,S,EUR,16100.17,16100.17,USER006,
0L,1000,2022,0000100033,000002,2022,001,2022-01-10,2022-01-09,KR,160000,,P100001,H,EUR,-16100.17,-16100.17,USER006,
0L,1000,2022,0000100034,000001,2022,001,2022-01-27,2022-01-23,KR,710000,10000001,P100001,S,EUR,991.12,991.12,USER029,
0L,1000,2022,0000100034,000002,2022,001,2022-01-27,2022-01-23,KR,160000,,P100001,H,EUR,-991.12,-991.12,USER029,
0L,1000,2022,0000100035,000001,2022,001,2022-01-05,2022-01-01,KR,710000,10000001,P100001,S,EUR,38512.98,38512.98,USER018,
0L,1000,2022,0000100035,000002,2022,001,2022-01-05,2022-01-01,KR,160000,,P100001,H,EUR,-38512.98,-38512.98,USER018,
0L,1000,2022,0000100036,000001,2022,001,2022-01-19,2022-01-15,KR,710000,10000001,P100001,S,EUR,481.81,481.81,USER037,
0L,1000,2022,0000100036,000002,2022,001,2022-01-19,2022-01-15,KR,160000,,P100001,H,EUR,-481.81,-481.81,USER037,
0L,1000,2022,0000100037,000001,2022,001,2022-01-07,2021-12-30,KR,710000,10000001,P100001,S,EUR,30885.61,30885.61,USER026,
0L,1000,2022,0000100037,000002,2022,001,2022-01-07,2021-12-30,KR,160000,,P100001,H,EUR,-30885.61,-30885.61,USER026,
0L,1000,2022,0000100038,000001,2022,001,2022-01-26,2022-01-16,SA,600000,10000001,P100001,S,EUR,131039.11,131039.11,USER020,
0L,1000,2022,0000100038,000002,2022,001,2022-01-26,2022-01-16,SA,170000,,P100001,H,EUR,-131039.11,-131039.11,USER020,
0L,1000,2022,0000100039,000001,2022,001,2022-01-14,2022-01-11,SA,600000,10000001,P100001,S,EUR,757873.48,757873.48,USER008,
0L,1000,2022,0000100039,000002,2022,001,2022-01-14,2022-01-11,SA,170000,,P100001,H,EUR,-757873.48,-757873.48,USER008,
0L,1000,2022,0000100040,000001,2022,001,2022-01-13,2022-01-13,SA,600000,10000001,P100001,S,EUR,224907.76,224907.76,USER019,
0L,1000,2022,0000100040,000002,2022,001,2022-01-13,2022-01-13,SA,170000,,P100001,H,EUR,-224907.76,-224907.76,USER019,
0L,1000,2022,0000100041,000001,2022,001,2022-01-31,2022-01-25,SA,600000,10000001,P100001,S,EUR,195020.74,195020.74,USER027,
0L,1000,2022,0000100041,000002,2022,001,2022-01-31,2022-01-25,SA,170000,,P100001,H,EUR,-195020.74,-195020.74,USER027,
0L,1000,2022,0000100042,000001,2022,001,2022-01-25,2022-01-16,SA,600000,10000001,P100001,S,EUR,26690.23,26690.23,USER015,
0L,1000,2022,0000100042,000002,2022,001,2022-01-25,2022-01-16,SA,170000,,P100001,H,EUR,-26690.23,-26690.23,USER015,
0L,1000,2022,0000100043,000001,2022,001,2022-01-13,2022-01-11,SA,600000,10000001,P100001,S,EUR,17943.44,17943.44,USER033,
0L,1000,2022,0000100043,000002,2022,001,2022-01-13,2022-01-11,SA,170000,,P100001,H,EUR,-17943.44,-17943.44,USER033,
0L,1000,2022,0000100044,000001,2022,001,2022-01-31,2022-01-22,SA,600000,10000001,P100001,S,EUR,503694.64,503694.64,USER021,
0L,1000,2022,0000100044,000002,2022,001,2022-01-31,2022-01-22,SA,170000,,P100001,H,EUR,-503694.64,-503694.64,USER021,
0L,1000,2022,0000100045,000001,2022,001,2022-01-18,2022-01-13,SA,620000,10000001,P100001,S,EUR,26350.89,26350.89,USER007,
0L,1000,2022,0000100045,000002,2022,001,2022-01-18,2022-01-13,SA,170000,,P100001,H,EUR,-26350.89,-26350.89,USER007,
0L,1000,2022,0000100046,000001,2022,001,2022-01-31,2022-01-24,SA,620000,10000001,P100001,S,EUR,5362.26,5362.26,USER036,
0L,1000,2022,0000100046,000002,2022,001,2022-01-31,2022-01-24,SA,170000,,P100001,H,EUR,-5362.26,-5362.26,USER036,
0L,1000,2022,0000100047,000001,2022,001,2022-01-05,2021-12-25,SA,620000,10000001,P100001,S,EUR,7032.54,7032.54,USER010,
0L,1000,2022,0000100047,000002,2022,001,2022-01-05,2021-12-25,SA,170000,,P100001,H,EUR,-7032.54,-7032.54,USER010,
0L,1000,2022,0000100048,000001,2022,001,2022-01-31,2022-01-23,SA,620000,10000001,P100001,S,EUR,38539.86,38539.86,USER035,
0L,1000,2022,0000100048,000002,2022,001,2022-01-31,2022-01-23,SA,170000,,P100001,H,EUR,-38539.86,-38539.86,USER035,
0L,1000,2022,0000100049,000001,2022,001,2022-01-30,2022-01-20,SA,620000,10000001,P100001,S,EUR,1346.05,1346.05,USER020,
0L,1000,2022,0000100049,000002,2022,001,2022-01-30,2022-01-20,SA,170000,,P100001,H,EUR,-1346.05,-1346.05,USER020,
0L,1000,2022,0000100050,000001,2022,001,2022-01-17,2022-01-15,SA,620000,10000001,P100001,S,EUR,1472.7,1472.7,USER019,
0L,1000,2022,0000100050,000002,2022,001,2022-01-17,2022-01-15,SA,170000,,P100001,H,EUR,-1472.7,-1472.7,USER019,
0L,1000,2022,0000100051,000001,2022,001,2022-01-06,2021-12-28,SA,620000,10000001,P100001,S,EUR,44188.15,44188.15,USER025,
0L,1000,2022,0000100051,000002,2022,001,2022-01-06,2021-12-28,SA,170000,,P100001,H,EUR,-44188.15,-44188.15,USER025,
0L,1000,2022,0000100052,000001,2022,001,2022-01-28,2022-01-22,KR,740000,10000001,P100001,S,EUR,827.29,827.29,USER015,
0L,1000,2022,0000100052,000002,2022,001,2022-01-28,2022-01-22,KR,160000,,P100001,H,EUR,-827.29,-827.29,USER015,
0L,1000,2022,0000100053,000001,2022,001,2022-01-11,2022-01-07,KR,740000,10000001,P100001,S,EUR,59862.16,59862.16,USER008,
0L,1000,2022,0000100053,000002,2022,001,2022-01-11,2022-01-07,KR,160000,,P100001,H,EUR,-59862.16,-59862.16,USER008,
0L,1000,2022,0000100054,000001,2022,001,2022-01-29,2022-01-21,KR,740000,10000001,P100001,S,EUR,26559.55,26559.55,USER030,
0L,1000,2022,0000100054,000002,2022,001,2022-01-29,2022-01-21,KR,160000,,P100001,H,EUR,-26559.55,-26559.55,USER030,
0L,1000,2022,0000100055,000001,2022,001,2022-01-17,2022-01-11,KR,740000,10000001,P100001,S,EUR,5066.76,5066.76,USER030,
0L,1000,2022,0000100055,000002,2022,001,2022-01-17,2022-01-11,KR,160000,,P100001,H,EUR,-5066.76,-5066.76,USER030,
0L,1000,2022,0000100056,000001,2022,001,2022-01-28,2022-01-21,KR,740000,10000001,P100001,S,EUR,22413.26,22413.26,USER014,
0L,1000,2022,0000100056,000002,2022,001,2022-01-28,2022-01-21,KR,160000,,P100001,H,EUR,-22413.26,-22413.26,USER014,
0L,1000,2022,0000100057,000001,2022,001,2022-01-13,2022-01-09,KR,740000,10000001,P100001,S,EUR,899.99,899.99,USER021,
0L,1000,2022,0000100057,000002,2022,001,2022-01-13,2022-01-09,KR,160000,,P100001,H,EUR,-899.99,-899.99,USER021,
0L,1000,2022,0000100058,000001,2022,001,2022-01-21,2022-01-18,KR,740000,10000001,P100001,S,EUR,256.5,256.5,USER030,
0L,1000,2022,0000100058,000002,2022,001,2022-01-21,2022-01-18,KR,160000,,P100001,H,EUR,-256.5,-256.5,USER030,
0L,1000,2022,0000100059,000001,2022,001,2022-01-20,2022-01-13,KR,500000,10000002,P100002,S,EUR,1743120.84,1743120.84,USER024,
0L,1000,2022,0000100059,000002,2022,001,2022-01-20,2022-01-13,KR,160000,,P100002,H,EUR,-1743120.84,-1743120.84,USER024,
0L,1000,2022,0000100060,000001,2022,001,2022-01-10,2022-01-01,KR,500000,10000002,P100002,S,EUR,1610860.94,1610860.94,USER027,
0L,1000,2022,0000100060,000002,2022,001,2022-01-10,2022-01-01,KR,160000,,P100002,H,EUR,-1610860.94,-1610860.94,USER027,
0L,1000,2022,0000100061,000001,2022,001,2022-01-25,2022-01-24,KR,500000,10000002,P100002,S,EUR,6123179.92,6123179.92,USER031,
0L,1000,2022,0000100061,000002,2022,001,2022-01-25,2022-01-24,KR,160000,,P100002,H,EUR,-6123179.92,-6123179.92,USER031,
0L,1000,2022,0000100062,000001,2022,001,2022-01-19,2022-01-16,KR,510000,10000002,P100002,S,EUR,36738.93,36738.93,USER026,
0L,1000,2022,0000100062,000002,2022,001,2022-01-19,2022-01-16,KR,160000,,P100002,H,EUR,-36738.93,-36738.93,USER026,
0L,1000,2022,0000100063,000001,2022,001,2022-01-05,2021-12-31,KR,510000,10000002,P100002,S,EUR,77890.5,77890.5,USER017,
0L,1000,2022,0000100063,000002,2022,001,2022-01-05,2021-12-31,KR,160000,,P100002,H,EUR,-77890.5,-77890.5,USER017,
0L,1000,2022,0000100064,000001,2022,001,2022-01-03,2021-12-25,KR,510000,10000002,P100002,S,EUR,599.3,599.3,USER009,
0L,1000,2022,0000100064,000002,2022,001,2022-01-03,2021-12-25,KR,160000,,P100002,H,EUR,-599.3,-599.3,USER009,
0L,1000,2022,0000100065,000001,2022,001,2022-01-20,2022-01-19,KR,510000,10000002,P100002,S,EUR,2554.15,2554.15,USER019,
0L,1000,2022,0000100065,000002,2022,001,2022-01-20,2022-01-19,KR,160000,,P100002,H,EUR,-2554.15,-2554.15,USER019,
0L,1000,2022,0000100066,000001,2022,001,2022-01-17,2022-01-08,KR,510000,10000002,P100002,S,EUR,886011.9,886011.9,USER007,
0L,1000,2022,0000100066,000002,2022,001,2022-01-17,2022-01-08,KR,160000,,P100002,H,EUR,-886011.9,-886011.9,USER007,
0L,1000,2022,0000100067,000001,2022,001,2022-01-31,2022-01-26,KR,510000,10000002,P100002,S,EUR,1830490.69,1830490.69,USER024,
0L,1000,2022,0000100067,000002,2022,001,2022-01-31,2022-01-26,KR,160000,,P100002,H,EUR,-1830490.69,-1830490.69,USER024,
0L,1000,2022,0000100068,000001,2022,001,2022-01-07,2022-01-03,SA,600000,10000002,P100002,S,EUR,174427.65,174427.65,USER016,
0L,1000,2022,0000100068,000002,2022,001,2022-01-07,2022-01-03,SA,170000,,P100002,H,EUR,-174427.65,-174427.65,USER016,
0L,1000,2022,0000100069,000001,2022,001,2022-01-18,2022-01-07,SA,600000,10000002,P100002,S,EUR,6459.98,6459.98,USER010,
0L,1000,2022,0000100069,000002,2022,001,2022-01-18,2022-01-07,SA,170000,,P100002,H,EUR,-6459.98,-6459.98,USER010,
0L,1000,2022,0000100070,000001,2022,001,2022-01-31,2022-01-25,SA,600000,10000002,P100002,S,EUR,204903.6,204903.6,USER009,
0L,1000,2022,0000100070,000002,2022,001,2022-01-31,2022-01-25,SA,170000,,P100002,H,EUR,-204903.6,-204903.6,USER009,
0L,1000,2022,0000100071,000001,2022,001,2022-01-10,2021-12-31,SA,600000,10000002,P100002,S,EUR,17508.53,17508.53,USER029,
0L,1000,2022,0000100071,000002,2022,001,2022-01-10,2021-12-31,SA,170000,,P100002,H,EUR,-17508.53,-17508.53,USER029,
0L,1000,2022,0000100072,000001,2022,001,2022-01-01,2021-12-28,SA,600000,10000002,P100002,S,EUR,127905.25,127905.25,USER004,
0L,1000,2022,0000100072,000002,2022,001,2022-01-01,2021-12-28,SA,170000,,P100002,H,EUR,-127905.25,-127905.25,USER004,
0L,1000,2022,0000100073,000001,2022,001,2022-01-11,2022-01-10,SA,600000,10000002,P100002,S,EUR,76770.53,76770.53,USER010,
0L,1000,2022,0000100073,000002,2022,001,2022-01-11,2022-01-10,SA,170000,,P100002,H,EUR,-76770.53,-76770.53,USER010,
0L,1000,2022,0000100074,000001,2022,001,2022-01-19,2022-01-15,SA,600000,10000002,P100002,S,EUR,94575.1,94575.1,USER035,
0L,1000,2022,0000100074,000002,2022,001,2022-01-19,2022-01-15,SA,170000,,P100002,H,EUR,-94575.1,-94575.1,USER035,
0L,1000,2022,0000100075,000001,2022,001,2022-01-31,2022-01-30,SA,600000,10000002,P100002,S,EUR,482788.73,482788.73,USER023,
0L,1000,2022,0000100075,000002,2022,001,2022-01-31,2022-01-30,SA,170000,,P100002,H,EUR,-482788.73,-482788.73,USER023,
0L,1000,2022,0000100076,000001,2022,001,2022-01-25,2022-01-21,SA,600000,10000002,P100002,S,EUR,223107.83,223107.83,USER002,
0L,1000,2022,0000100076,000002,2022,001,2022-01-25,2022-01-21,SA,170000,,P100002,H,EUR,-223107.83,-223107.83,USER002,
0L,1000,2022,0000100077,000001,2022,001,2022-01-31,2022-01-24,SA,600000,10000002,P100002,S,EUR,3589.42,3589.42,USER028,
0L,1000,2022,0000100077,000002,2022,001,2022-01-31,2022-01-24,SA,170000,,P100002,H,EUR,-3589.42,-3589.42,USER028,
0L,1000,2022,0000100078,000001,2022,001,2022-01-18,2022-01-07,SA,600000,10000002,P100002,S,EUR,73333.22,73333.22,USER020,
0L,1000,2022,0000100078,000002,2022,001,2022-01-18,2022-01-07,SA,170000,,P100002,H,EUR,-73333.22,-73333.22,USER020,
0L,1000,2022,0000100079,000001,2022,001,2022-01-05,2021-12-26,SA,620000,10000002,P100002,S,EUR,45016.7,45016.7,USER022,
0L,1000,2022,0000100079,000002,2022,001,2022-01-05,2021-12-26,SA,170000,,P100002,H,EUR,-45016.7,-45016.7,USER022,
0L,1000,2022,0000100080,000001,2022,001,2022-01-10,2022-01-04,SA,620000,10000002,P100002,S,EUR,134092.79,134092.79,USER037,
0L,1000,2022,0000100080,000002,2022,001,2022-01-10,2022-01-04,SA,170000,,P100002,H,EUR,-134092.79,-134092.79,USER037,
0L,1000,2022,0000100081,000001,2022,001,2022-01-17,2022-01-09,SA,620000,10000002,P100002,S,EUR,135895.0,135895.0,USER010,
0L,1000,2022,0000100081,000002,2022,001,2022-01-17,2022-01-09,SA,170000,,P100002,H,EUR,-135895.0,-135895.0,USER010,
0L,1000,2022,0000100082,000001,2022,001,2022-01-12,2022-01-11,KR,720000,10000002,P100002,S,EUR,346260.14,346260.14,USER022,
0L,1000,2022,0000100082,000002,2022,001,2022-01-12,2022-01-11,KR,160000,,P100002,H,EUR,-346260.14,-346260.14,USER022,
0L,1000,2022,0000100083,000001,2022,001,2022-01-31,2022-01-29,KR,720000,10000002,P100002,S,EUR,39940.31,39940.31,USER034,
0L,1000,2022,0000100083,000002,2022,001,2022-01-31,2022-01-29,KR,160000,,P100002,H,EUR,-39940.31,-39940.31,USER034,
0L,1000,2022,0000100084,000001,2022,001,2022-01-12,2022-01-09,KR,720000,10000002,P100002,S,EUR,118515.46,118515.46,USER026,
0L,1000,2022,0000100084,000002,2022,001,2022-01-12,2022-01-09,KR,160000,,P100002,H,EUR,-118515.46,-118515.46,USER026,
0L,1000,2022,0000100085,000001,2022,001,2022-01-28,2022-01-17,KR,730000,10000002,P100002,S,EUR,1249.01,1249.01,USER019,
0L,1000,2022,0000100085,000002,2022,001,2022-01-28,2022-01-17,KR,160000,,P100002,H,EUR,-1249.01,-1249.01,USER019,
0L,1000,2022,0000100086,000001,2022,001,2022-01-31,2022-01-23,KR,730000,10000002,P100002,S,EUR,22209.06,22209.06,USER036,
0L,1000,2022,0000100086,000002,2022,001,2022-01-31,2022-01-23,KR,160000,,P100002,H,EUR,-22209.06,-22209.06,USER036,
0L,1000,2022,0000100087,000001,2022,001,2022-01-13,2022-01-02,KR,730000,10000002,P100002,S,EUR,31447.03,31447.03,USER025,
0L,1000,2022,0000100087,000002,2022,001,2022-01-13,2022-01-02,KR,160000,,P100002,H,EUR,-31447.03,-31447.03,USER025,
0L,1000,2022,0000100088,000001,2022,001,2022-01-08,2022-01-07,KR,730000,10000002,P100002,S,EUR,131423.91,131423.91,USER010,
0L,1000,2022,0000100088,000002,2022,001,2022-01-08,2022-01-07,KR,160000,,P100002,H,EUR,-131423.91,-131423.91,USER010,
0L,1000,2022,0000100089,000001,2022,001,2022-01-17,2022-01-09,KR,730000,10000002,P100002,S,EUR,1270.66,1270.66,USER024,
0L,1000,2022,0000100089,000002,2022,001,2022-01-17,2022-01-09,KR,160000,,P100002,H,EUR,-1270.66,-1270.66,USER024,
0L,1000,2022,0000100090,000001,2022,001,2022-01-13,2022-01-08,KR,730000,10000002,P100002,S,EUR,28932.8,28932.8,USER016,
0L,1000,2022,0000100090,000002,2022,001,2022-01-13,2022-01-08,KR,160000,,P100002,H,EUR,-28932.8,-28932.8,USER016,
0L,1000,2022,0000100091,000001,2022,001,2022-01-31,2022-01-30,KR,730000,10000002,P100002,S,EUR,7226.0,7226.0,USER039,
0L,1000,2022,0000100091,000002,2022,001,2022-01-31,2022-01-30,KR,160000,,P100002,H,EUR,-7226.0,-7226.0,USER039,
0L,1000,2022,0000100092,000001,2022,001,2022-01-27,2022-01-23,AF,780000,10000002,P100002,S,EUR,530.46,530.46,USER036,
0L,1000,2022,0000100092,000002,2022,001,2022-01-27,2022-01-23,AF,199000,,P100002,H,EUR,-530.46,-530.46,USER036,
0L,1000,2022,0000100093,000001,2022,001,2022-01-31,2022-01-30,AF,780000,10000002,P100002,S,EUR,13365.63,13365.63,USER013,
0L,1000,2022,0000100093,000002,2022,001,2022-01-31,2022-01-30,AF,199000,,P100002,H,EUR,-13365.63,-13365.63,USER013,
0L,1000,2022,0000100094,000001,2022,001,2022-01-31,2022-01-29,AF,780000,10000002,P100002,S,EUR,22100.18,22100.18,USER034,
0L,1000,2022,0000100094,000002,2022,001,2022-01-31,2022-01-29,AF,199000,,P100002,H,EUR,-22100.18,-22100.18,USER034,
0L,1000,2022,0000100095,000001,2022,001,2022-01-06,2021-12-31,AF,780000,10000002,P100002,S,EUR,38413.19,38413.19,USER027,
0L,1000,2022,0000100095,000002,2022,001,2022-01-06,2021-12-31,AF,199000,,P100002,H,EUR,-38413.19,-38413.19,USER027,
0L,1000,2022,0000100096,000001,2022,001,2022-01-10,2021-12-30,AF,780000,10000002,P100002,S,EUR,21452.25,21452.25,USER008,
0L,1000,2022,0000100096,000002,2022,001,2022-01-10,2021-12-30,AF,199000,,P100002,H,EUR,-21452.25,-21452.25,USER008,
0L,1000,2022,0000100097,000001,2022,001,2022-01-28,2022-01-17,AF,780000,10000002,P100002,S,EUR,106616.23,106616.23,USER005,
0L,1000,2022,0000100097,000002,2022,001,2022-01-28,2022-01-17,AF,199000,,P100002,H,EUR,-106616.23,-106616.23,USER005,
0L,1000,2022,0000100098,000001,2022,001,2022-01-25,2022-01-16,AF,780000,10000002,P100002,S,EUR,22762.77,22762.77,USER028,
