BUKRS,BELNR,GJAHR,MONAT,BUDAT,BLDAT,BLART,WAERS,VERSION,USNAM,STBLG,BUZEI,BSCHL,SHKZG,HKONT,KOSTL,PRCTR,DMBTR,WRBTR
1000,0000100059,2022,1,2022-01-20,2022-01-13,KR,EUR,0,USER024,,2,50,H,160000,,P100002,1743120.84,1743120.84
1000,0000100060,2022,1,2022-01-10,2022-01-01,KR,EUR,0,USER027,,1,40,S,500000,10000002,P100002,1610860.94,1610860.94
1000,0000100060,2022,1,2022-01-10,2022-01-01,KR,EUR,0,USER027,,2,50,H,160000,,P100002,1610860.94,1610860.94
1000,0000100061,2022,1,2022-01-25,2022-01-24,KR,EUR,0,USER031,,1,40,S,500000,10000002,P100002,6123179.92,6123179.92
1000,0000100061,2022,1,2022-01-25,2022-01-24,KR,EUR,0,USER031,,2,50,H,160000,,P100002,6123179.92,6123179.92
1000,0000100062,2022,1,2022-01-19,2022-01-16,KR,EUR,0,USER026,,1,40,S,510000,10000002,P100002,36738.93,36738.93
1000,0000100062,2022,1,2022-01-19,2022-01-16,KR,EUR,0,USER026,,2,50,H,160000,,P100002,36738.93,36738.93
1000,0000100063,2022,1,2022-01-05,2021-12-31,KR,EUR,0,USER017,,1,40,S,510000,10000002,P100002,77890.5,77890.5
1000,0000100063,2022,1,2022-01-05,2021-12-31,KR,EUR,0,USER017,,2,50,H,160000,,P100002,77890.5,77890.5
1000,0000100064,2022,1,2022-01-03,2021-12-25,KR,EUR,0,USER009,,1,40,S,510000,10000002,P100002,599.3,599.3
1000,0000100064,2022,1,2022-01-03,2021-12-25,KR,EUR,0,USER009,,2,50,H,160000,,P100002,599.3,599.3
1000,0000100065,2022,1,2022-01-20,2022-01-19,KR,EUR,0,USER019,,1,40,S,510000,10000002,P100002,2554.15,2554.15
1000,0000100065,2022,1,2022-01-20,2022-01-19,KR,EUR,0,USER019,,2,50,H,160000,,P100002,2554.15,2554.15
1000,0000100066,2022,1,2022-01-17,2022-01-08,KR,EUR,0,USER007,,1,40,S,510000,10000002,P100002,886011.9,886011.9
1000,0000100066,2022,1,2022-01-17,2022-01-08,KR,EUR,0,USER007,,2,50,H,160000,,P100002,886011.9,886011.9
1000,0000100067,2022,1,2022-01-31,2022-01-26,KR,EUR,0,USER024,,1,40,S,510000,10000002,P100002,1830490.69,1830490.69
1000,0000100067,2022,1,2022-01-31,2022-01-26,KR,EUR,0,USER024,,2,50,H,160000,,P100002,1830490.69,1830490.69
1000,0000100068,2022,1,2022-01-07,2022-01-03,SA,EUR,0,USER016,,1,40,S,600000,10000002,P100002,174427.65,174427.65
1000,0000100068,2022,1,2022-01-07,2022-01-03,SA,EUR,0,USER016,,2,50,H,170000,,P100002,174427.65,174427.65
1000,0000100069,2022,1,2022-01-18,2022-01-07,SA,EUR,0,USER010,,1,40,S,600000,10000002,P100002,6459.98,6459.98
1000,0000100069,2022,1,2022-01-18,2022-01-07,SA,EUR,0,USER010,,2,50,H,170000,,P100002,6459.98,6459.98
1000,0000100070,2022,1,2022-01-31,2022-01-25,SA,EUR,0,USER009,,1,40,S,600000,10000002,P100002,204903.6,204903.6
1000,0000100070,2022,1,2022-01-31,2022-01-25,SA,EUR,0,USER009,,2,50,H,170000,,P100002,204903.6,204903.6
1000,0000100071,2022,1,2022-01-10,2021-12-31,SA,EUR,0,USER029,,1,40,S,600000,10000002,P100002,17508.53,17508.53
1000,0000100071,2022,1,2022-01-10,2021-12-31,SA,EUR,0,USER029,,2,50,H,170000,,P100002,17508.53,17508.53
1000,0000100072,2022,1,2022-01-01,2021-12-28,SA,EUR,0,USER004,,1,40,S,600000,10000002,P100002,127905.25,127905.25
1000,0000100072,2022,1,2022-01-01,2021-12-28,SA,EUR,0,USER004,,2,50,H,170000,,P100002,127905.25,127905.25
1000,0000100073,2022,1,2022-01-11,2022-01-10,SA,EUR,0,USER010,,1,40,S,600000,10000002,P100002,76770.53,76770.53
1000,0000100073,2022,1,2022-01-11,2022-01-10,SA,EUR,0,USER010,,2,50,H,170000,,P100002,76770.53,76770.53
1000,0000100074,2022,1,2022-01-19,2022-01-15,SA,EUR,0,USER035,,1,40,S,600000,10000002,P100002,94575.1,94575.1
1000,0000100074,2022,1,2022-01-19,2022-01-15,SA,EUR,0,USER035,,2,50,H,170000,,P100002,94575.1,94575.1
1000,0000100075,2022,1,2022-01-31,2022-01-30,SA,EUR,0,USER023,,1,40,S,600000,10000002,P100002,482788.73,482788.73
1000,0000100075,2022,1,2022-01-31,2022-01-30,SA,EUR,0,USER023,,2,50,H,170000,,P100002,482788.73,482788.73
1000,0000100076,2022,1,2022-01-25,2022-01-21,SA,EUR,0,USER002,,1,40,S,600000,10000002,P100002,223107.83,223107.83
1000,0000100076,2022,1,2022-01-25,2022-01-21,SA,EUR,0,USER002,,2,50,H,170000,,P100002,223107.83,223107.83
1000,0000100077,2022,1,2022-01-31,2022-01-24,SA,EUR,0,USER028,,1,40,S,600000,10000002,P100002,3589.42,3589.42
1000,0000100077,2022,1,2022-01-31,2022-01-24,SA,EUR,0,USER028,,2,50,H,170000,,P100002,3589.42,3589.42
1000,0000100078,2022,1,2022-01-18,2022-01-07,SA,EUR,0,USER020,,1,40,S,600000,10000002,P100002,73333.22,73333.22
1000,0000100078,2022,1,2022-01-18,2022-01-07,SA,EUR,0,USER020,,2,50,H,170000,,P100002,73333.22,73333.22
1000,0000100079,2022,1,2022-01-05,2021-12-26,SA,EUR,0,USER022,,1,40,S,620000,10000002,P100002,45016.7,45016.7
1000,0000100079,2022,1,2022-01-05,2021-12-26,SA,EUR,0,USER022,,2,50,H,170000,,P100002,45016.7,45016.7
1000,0000100080,2022,1,2022-01-10,2022-01-04,SA,EUR,0,USER037,,1,40,S,620000,10000002,P100002,134092.79,134092.79
1000,0000100080,2022,1,2022-01-10,2022-01-04,SA,EUR,0,USER037,,2,50,H,170000,,P100002,134092.79,134092.79
1000,0000100081,2022,1,2022-01-17,2022-01-09,SA,EUR,0,USER010,,1,40,S,620000,10000002,P100002,135895.0,135895.0
1000,0000100081,2022,1,2022-01-17,2022-01-09,SA,EUR,0,USER010,,2,50,H,170000,,P100002,135895.0,135895.0
1000,0000100082,2022,1,2022-01-12,2022-01-11,KR,EUR,0,USER022,,1,40,S,720000,10000002,P100002,346260.14,346260.14
1000,0000100082,2022,1,2022-01-12,2022-01-11,KR,EUR,0,USER022,,2,50,H,160000,,P100002,346260.14,346260.14
1000,0000100083,2022,1,2022-01-31,2022-01-29,KR,EUR,0,USER034,,1,40,S,720000,10000002,P100002,39940.31,39940.31
1000,0000100083,2022,1,2022-01-31,2022-01-29,KR,EUR,0,USER034,,2,50,H,160000,,P100002,39940.31,39940.31
1000,0000100084,2022,1,2022-01-12,2022-01-09,KR,EUR,0,USER026,,1,40,S,720000,10000002,P100002,118515.46,118515.46
1000,0000100084,2022,1,2022-01-12,2022-01-09,KR,EUR,0,USER026,,2,50,H,160000,,P100002,118515.46,118515.46
1000,0000100085,2022,1,2022-01-28,2022-01-17,KR,EUR,0,USER019,,1,40,S,730000,10000002,P100002,1249.01,1249.01
1000,0000100085,2022,1,2022-01-28,2022-01-17,KR,EUR,0,USER019,,2,50,H,160000,,P100002,1249.01,1249.01
1000,0000100086,2022,1,2022-01-31,2022-01-23,KR,EUR,0,USER036,,1,40,S,730000,10000002,P100002,22209.06,22209.06
1000,0000100086,2022,1,2022-01-31,2022-01-23,KR,EUR,0,USER036,,2,50,H,160000,,P100002,22209.06,22209.06
1000,0000100087,2022,1,2022-01-13,2022-01-02,KR,EUR,0,USER025,,1,40,S,730000,10000002,P100002,31447.03,31447.03
1000,0000100087,2022,1,2022-01-13,2022-01-02,KR,EUR,0,USER025,,2,50,H,160000,,P100002,31447.03,31447.03
1000,0000100088,2022,1,2022-01-08,2022-01-07,KR,EUR,0,USER010,,1,40,S,730000,10000002,P100002,131423.91,131423.91
1000,0000100088,2022,1,2022-01-08,2022-01-07,KR,EUR,0,USER010,,2,50,H,160000,,P100002,131423.91,131423.91
1000,0000100089,2022,1,2022-01-17,2022-01-09,KR,EUR,0,USER024,,1,40,S,730000,10000002,P100002,1270.66,1270.66
1000,0000100089,2022,1,2022-01-17,2022-01-09,KR,EUR,0,USER024,,2,50,H,160000,,P100002,1270.66,1270.66
1000,0000100090,2022,1,2022-01-13,2022-01-08,KR,EUR,0,USER016,,1,40,S,730000,10000002,P100002,28932.8,28932.8
1000,0000100090,2022,1,2022-01-13,2022-01-08,KR,EUR,0,USER016,,2,50,H,160000,,P100002,28932.8,28932.8
1000,0000100091,2022,1,2022-01-31,2022-01-30,KR,EUR,0,USER039,,1,40,S,730000,10000002,P100002,7226.0,7226.0
1000,0000100091,2022,1,2022-01-31,2022-01-30,KR,EUR,0,USER039,,2,50,H,160000,,P100002,7226.0,7226.0
1000,0000100092,2022,1,2022-01-27,2022-01-23,AF,EUR,0,USER036,,1,40,S,780000,10000002,P100002,530.46,530.46
1000,0000100092,2022,1,2022-01-27,2022-01-23,AF,EUR,0,USER036,,2,50,H,199000,,P100002,530.46,530.46
1000,0000100093,2022,1,2022-01-31,2022-01-30,AF,EUR,0,USER013,,1,40,S,780000,10000002,P100002,13365.63,13365.63
1000,0000100093,2022,1,2022-01-31,2022-01-30,AF,EUR,0,USER013,,2,50,H,199000,,P100002,13365.63,13365.63
1000,0000100094,2022,1,2022-01-31,2022-01-29,AF,EUR,0,USER034,,1,40,S,780000,10000002,P100002,22100.18,22100.18
1000,0000100094,2022,1,2022-01-31,2022-01-29,AF,EUR,0,USER034,,2,50,H,199000,,P100002,22100.18,22100.18
1000,0000100095,2022,1,2022-01-06,2021-12-31,AF,EUR,0,USER027,,1,40,S,780000,10000002,P100002,38413.19,38413.19
1000,0000100095,2022,1,2022-01-06,2021-12-31,AF,EUR,0,USER027,,2,50,H,199000,,P100002,38413.19,38413.19
1000,0000100096,2022,1,2022-01-10,2021-12-30,AF,EUR,0,USER008,,1,40,S,780000,10000002,P100002,21452.25,21452.25
1000,0000100096,2022,1,2022-01-10,2021-12-30,AF,EUR,0,USER008,,2,50,H,199000,,P100002,21452.25,21452.25
1000,0000100097,2022,1,2022-01-28,2022-01-17,AF,EUR,0,USER005,,1,40,S,780000,10000002,P100002,106616.23,106616.23
1000,0000100097,2022,1,2022-01-28,2022-01-17,AF,EUR,0,USER005,,2,50,H,199000,,P100002,106616.23,106616.23
1000,0000100098,2022,1,2022-01-25,2022-01-16,AF,EUR,0,USER028,,1,40,S,780000,10000002,P100002,22762.77,22762.77
1000,0000100098,2022,1,2022-01-25,2022-01-16,AF,EUR,0,USER028,,2,50,H,199000,,P100002,22762.77,22762.77
1000,0000100099,2022,1,2022-01-28,2022-01-27,SA,EUR,0,USER028,,1,40,S,600000,10000003,P100003,23461.6,23461.6
1000,0000100099,2022,1,2022-01-28,2022-01-27,SA,EUR,0,USER028,,2,50,H,170000,,P100003,23461.6,23461.6
1000,0000100100,2022,1,2022-01-05,2022-01-04,SA,EUR,0,USER008,,1,40,S,600000,10000003,P100003,149813.82,149813.82
1000,0000100100,2022,1,2022-01-05,2022-01-04,SA,EUR,0,USER008,,2,50,H,170000,,P100003,149813.82,149813.82
1000,0000100101,2022,1,2022-01-25,2022-01-17,SA,EUR,0,USER018,,1,40,S,600000,10000003,P100003,145092.14,145092.14
1000,0000100101,2022,1,2022-01-25,2022-01-17,SA,EUR,0,USER018,,2,50,H,170000,,P100003,145092.14,145092.14
1000,0000100102,2022,1,2022-01-11,2022-01-09,SA,EUR,0,USER003,,1,40,S,600000,10000003,P100003,48929.33,48929.33
1000,0000100102,2022,1,2022-01-11,2022-01-09,SA,EUR,0,USER003,,2,50,H,170000,,P100003,48929.33,48929.33
1000,0000100103,2022,1,2022-01-19,2022-01-12,SA,EUR,0,USER028,,1,40,S,600000,10000003,P100003,114547.66,114547.66
1000,0000100103,2022,1,2022-01-19,2022-01-12,SA,EUR,0,USER028,,2,50,H,170000,,P100003,114547.66,114547.66
